Rank,Regulatory Class,Model Year,Manufacturer,Model Name,Vehicle Type,Weight (lbs),Drive Type,Transmission,Gears,Fuel Delivery,Horsepower (HP),Engine Displacement,Real-World MPG_City,Real-World MPG_Hwy,Real-World MPG
"High","Truck","1988","Suzuki","SAMURAI","Truck SUV","2250","4wd","Manual","5","Carb","64","81","27.00000","28.70000","27.80000"
"High","Truck","1989","Suzuki","SIDEKICK","Truck SUV","2250","4wd","Manual","5","Carb","64","79","27.20000","28.30000","27.70000"
"High","Truck","1990","Suzuki","SAMURAI","Truck SUV","2500","4wd","Manual","5","TBI","66","79","27.20000","28.10000","27.60000"
"High","Truck","1991","Suzuki","SAMURAI","Truck SUV","2500","4wd","Manual","5","TBI","66","79","27.00000","27.90000","27.50000"
"High","Truck","1992","Suzuki","SAMURAI","Truck SUV","2500","4wd","Manual","5","TBI","66","79","26.80000","27.80000","27.30000"
"High","Truck","1993","Suzuki","SAMURAI","Truck SUV","2500","4wd","Manual","5","TBI","66","79","26.60000","27.70000","27.20000"
"High","Truck","1994","Suzuki","SAMURAI","Truck SUV","2500","4wd","Manual","5","TBI","66","79","26.40000","27.60000","27.00000"
"High","Truck","1995","Suzuki","SAMURAI","Truck SUV","2500","4wd","Manual","5","TBI","66","79","26.30000","27.50000","26.90000"
"High","Truck","1996","GM","S10 PICKUP 2WD","Pickup","3000","Rear","Manual","5","Port","118","134","22.30000","29.60000","25.60000"
"High","Truck","1996","GM","SONOMA 2WD","Pickup","3000","Rear","Manual","5","Port","118","134","22.30000","29.60000","25.60000"
"High","Truck","1997","GM","S10 PICKUP 2WD","Pickup","3000","Rear","Manual","5","Port","118","134","22.20000","29.50000","25.50000"
"High","Truck","1997","GM","SONOMA 2WD","Pickup","3000","Rear","Manual","5","Port","118","134","22.20000","29.50000","25.50000"
"High","Truck","1998","Ford","RANGER ELECTRIC 2WD","Pickup","5000","Rear","Automatic with Lockup","4","Port","118","152","20.20000","32.10000","25.10000"
"High","Truck","1999","GM","TRACKER 4X4 CONVERTIBLE","Truck SUV","3000","4wd","Manual","5","Port","97","97","23.00000","26.30000","24.70000"
"High","Truck","2000","Ford","RANGER ELECTRIC 2WD","Pickup","5000","Rear","Automatic with Lockup","4","Port","118","153","19.90000","31.30000","24.80000"
"High","Truck","2001","Ford","RANGER PICKUP 2WD","Pickup","3500","Rear","Manual","5","Port","138","140","21.70000","25.50000","23.60000"
"High","Truck","2001","Mazda","B2300 2WD","Pickup","3500","Rear","Manual","5","Port","138","140","21.70000","25.50000","23.60000"
"High","Truck","2002","GM","TRACKER 4WD HARDTOP","Truck SUV","3500","4wd","Automatic with Lockup","4","Port","141","118","22.90000","28.60000","25.80000"
"High","Truck","2002","Suzuki","VITARA 4-DOOR 4WD","Truck SUV","3500","4wd","Automatic with Lockup","4","Port","141","118","22.90000","28.60000","25.80000"
"High","Truck","2003","Ford","RANGER PICKUP 2WD","Pickup","3500","Rear","Manual","5","Port","140","140","21.40000","26.40000","23.90000"
"High","Truck","2003","Mazda","B2300 2WD","Pickup","3500","Rear","Manual","5","Port","140","140","21.40000","26.40000","23.90000"
"High","Truck","2004","Ford","RANGER PICKUP 2WD","Pickup","3500","Rear","Manual","5","Port","140","140","20.80000","26.70000","23.80000"
"High","Truck","2004","Mazda","B2300 2WD","Pickup","3500","Rear","Manual","5","Port","140","140","20.80000","26.70000","23.80000"
"High","Truck","2005","Ford","ESCAPE HEV 4WD","Truck SUV","4000","4wd","CVT","1","Port","135","140","28.10000","26.30000","27.00000"
"High","Truck","2006","Ford","ESCAPE HYBRID 4WD","Truck SUV","4000","4wd","CVT","1","Port","135","140","28.10000","26.30000","27.00000"
"High","Truck","2006","Ford","MARINER HYBRID 4WD","Truck SUV","4000","4wd","CVT","1","Port","135","140","28.10000","26.30000","27.00000"
"High","Truck","2006","Mazda","TRIBUTE HYBRID 4WD","Truck SUV","4000","4wd","CVT","1","Port","135","140","28.10000","26.30000","27.00000"
"High","Truck","2007","Ford","ESCAPE HYBRID 4WD","Truck SUV","4000","4wd","CVT","1","Port","133","140","27.60000","26.70000","27.10000"
"High","Truck","2007","Ford","MARINER HYBRID 4WD","Truck SUV","4000","4wd","CVT","1","Port","133","140","27.60000","26.70000","27.10000"
"High","Truck","2008","Ford","ESCAPE HYBRID 4WD","Truck SUV","4000","4wd","CVT","1","Port","133","140","29.30000","27.00000","27.90000"
"High","Truck","2008","Ford","MARINER HYBRID 4WD","Truck SUV","4000","4wd","CVT","1","Port","133","140","29.30000","27.00000","27.90000"
"High","Truck","2008","Mazda","TRIBUTE HYBRID 4WD","Truck SUV","4000","4wd","CVT","1","Port","133","140","29.30000","27.00000","27.90000"
"High","Truck","2009","GM","VUE HYBRID","Truck SUV","4500","Front","CVT","1","GDI","262","218","26.70000","29.70000","28.30000"
"High","Truck","2010","Mazda","TRIBUTE HYBRID 4WD","Truck SUV","4000","4wd","CVT","1","Port","155","153","30.60000","27.40000","28.70000"
"High","Truck","2011","Ford","ESCAPE HYBRID 4WD","Truck SUV","4000","4wd","CVT","1","Port","155","153","30.10000","26.90000","28.20000"
"High","Truck","2011","Ford","MARINER HYBRID 4WD","Truck SUV","4000","4wd","CVT","1","Port","155","153","30.10000","26.90000","28.20000"
"High","Truck","2012","GM","C15 SIERRA 2WD HYBRID","Pickup","6000","Rear","CVT","1","Port","332","366","25.50000","32.60000","29.10000"
"High","Truck","2012","GM","C15 SILVERADO 2WD HYBRID","Pickup","6000","Rear","CVT","1","Port","332","366","25.50000","32.60000","29.10000"
"High","Truck","2012","GM","C1500 TAHOE 2WD HYBRID","Truck SUV","6000","Rear","CVT","1","Port","332","366","25.50000","32.60000","29.10000"
"High","Truck","2012","GM","C1500 YUKON 2WD HYBRID","Truck SUV","6000","Rear","CVT","1","Port","332","366","25.50000","32.60000","29.10000"
"High","Truck","2012","GM","ESCALADE 2WD HYBRID","Truck SUV","6000","Rear","CVT","1","Port","332","366","25.50000","32.60000","29.10000"
"High","Truck","2013","Subaru","XV CROSSTREK AWD","Truck SUV","3500","4wd","CVT","1","Port","148","122","24.90000","32.00000","28.50000"
"High","Truck","2014","Subaru","XV CROSSTREK AWD","Truck SUV","3500","4wd","CVT","1","Port","148","122","28.80000","32.20000","30.60000"
"High","Truck","2015","Subaru","XV CROSSTREK HYBRID","Truck SUV","3500","4wd","CVT","1","Port","148","122","29.40000","33.30000","31.50000"
"High","Truck","2016","Toyota","RAV4 HYBRID AWD","Truck SUV","4000","4wd","CVT","1","Port","112","152","34.00000","30.30000","31.80000"
"High","Truck","2017","Stellantis","Pacifica Hybrid","Minivan/Van","5000","Front","CVT","1","Port","220","220","62.50000","41.50000","48.50000"
"High","Truck","2018","Tesla","Model X 75D","Truck SUV","5500","4wd","Automatic","1","Electric","518","-","91.20000","95.40000","93.50000"
"High","Truck","2019","Tesla","Model X Standard Range","Truck SUV","5500","4wd","Automatic","1","Electric","534","-","104.70000","97.50000","100.50000"
"High","Truck","2020","Tesla","Model X Long Range Plus","Truck SUV","5500","4wd","Automatic","1","Electric","534","-","108.40000","100.70000","103.90000"
"High","Truck","2021","Tesla","Model Y Standard Range RWD","Truck SUV","4000","Rear","Automatic","1","Electric","280","-","139.90000","118.70000","127.00000"
"High","Truck","Prelim. 2022","Tesla","Model Y AWD","Truck SUV","4500","4wd","Automatic","1","Electric","809","-","128.50000","115.90000","121.00000"
